  Device - IC3    Serial Number- 0123456789,,,,
,,,,
  RMV Data Points - 27/12/2023,,,,
,,,,
Time,Device,Rate,Dose,Status
15:14:39,Meter,0 mR/h,0.100 mR,OK
15:14:38,Meter,0 mR/h,0.100 mR,OK
15:14:37,Meter,0 mR/h,0.100 mR,OK
15:14:36,Meter,0 mR/h,0.100 mR,OK
15:14:35,Meter,0 mR/h,0.100 mR,OK
15:14:34,Meter,0.39 mR/h,0.100 mR,OK
15:14:33,Meter,0.39 mR/h,0.100 mR,OK
15:14:32,Meter,0.39 mR/h,0.100 mR,OK
15:14:31,Meter,0.4 mR/h,0.100 mR,OK
15:14:30,Meter,0.4 mR/h,0.100 mR,OK
15:14:29,Meter,0.41 mR/h,0.100 mR,OK
15:14:28,Meter,0.41 mR/h,0.100 mR,OK
15:14:27,Meter,0.41 mR/h,0.100 mR,OK
15:14:26,Meter,0.41 mR/h,0.100 mR,OK
15:14:25,Meter,0.4 mR/h,0.100 mR,OK
15:14:24,Meter,0.4 mR/h,0.100 mR,OK
15:14:23,Meter,0.4 mR/h,0.100 mR,OK
15:14:22,Meter,0.4 mR/h,0.100 mR,OK
15:14:21,Meter,0.4 mR/h,0.100 mR,OK
15:14:20,Meter,0.41 mR/h,0.100 mR,OK
15:14:19,Meter,0.41 mR/h,0.100 mR,OK
15:14:18,Meter,0.4 mR/h,0.100 mR,OK
15:14:17,Meter,0.4 mR/h,0.100 mR,OK
15:14:16,Meter,0.4 mR/h,0.100 mR,OK
15:14:15,Meter,0.4 mR/h,0.100 mR,OK
15:14:14,Meter,0.41 mR/h,0.100 mR,OK
15:14:13,Meter,0.4 mR/h,0.100 mR,OK
15:14:12,Meter,0.4 mR/h,0.100 mR,OK
15:14:11,Meter,0.39 mR/h,0.100 mR,OK
15:14:10,Meter,0.4 mR/h,0.100 mR,OK
15:14:09,Meter,0.4 mR/h,0.100 mR,OK
15:14:08,Meter,0.4 mR/h,0.100 mR,OK
15:14:07,Meter,0.4 mR/h,0.100 mR,OK
15:14:06,Meter,0.39 mR/h,0.100 mR,OK
15:14:05,Meter,0.39 mR/h,0.100 mR,OK
15:14:04,Meter,0.4 mR/h,0.100 mR,OK
15:14:03,Meter,0.4 mR/h,0.100 mR,OK
15:14:02,Meter,0.4 mR/h,0.100 mR,OK
15:14:01,Meter,0.4 mR/h,0.100 mR,OK
15:14:00,Meter,0.41 mR/h,0.100 mR,OK
15:13:59,Meter,0.41 mR/h,0.100 mR,OK
15:13:58,Meter,0.41 mR/h,0.100 mR,OK
15:13:57,Meter,0.41 mR/h,0.100 mR,OK
15:13:56,Meter,0.41 mR/h,0.100 mR,OK
15:13:55,Meter,0.41 mR/h,0.100 mR,OK
15:13:54,Meter,0.4 mR/h,0.100 mR,OK
15:13:53,Meter,0.39 mR/h,0.100 mR,OK
15:13:52,Meter,0.4 mR/h,0.100 mR,OK
15:13:51,Meter,0.4 mR/h,0.100 mR,OK
15:13:50,Meter,0.41 mR/h,0.100 mR,OK
15:13:49,Meter,0.41 mR/h,0.100 mR,OK
15:13:48,Meter,0.4 mR/h,0.100 mR,OK
15:13:47,Meter,0.4 mR/h,0.100 mR,OK
15:13:46,Meter,0.41 mR/h,0.100 mR,OK
15:13:45,Meter,0.42 mR/h,0.100 mR,OK
15:13:44,Meter,0.42 mR/h,0.100 mR,OK
15:13:43,Meter,0.42 mR/h,0.100 mR,OK
15:13:42,Meter,0.41 mR/h,0.100 mR,OK
15:13:41,Meter,0.41 mR/h,0.100 mR,OK
15:13:40,Meter,0.42 mR/h,0.100 mR,OK
15:13:39,Meter,0.41 mR/h,0.100 mR,OK
15:13:38,Meter,0.4 mR/h,0.100 mR,OK
15:13:37,Meter,0.4 mR/h,0.100 mR,OK
15:13:36,Meter,0.4 mR/h,0.100 mR,OK
15:13:35,Meter,0.41 mR/h,0.100 mR,OK
15:13:34,Meter,0.41 mR/h,0.100 mR,OK
15:13:33,Meter,0.41 mR/h,0.100 mR,OK
15:13:32,Meter,0.41 mR/h,0.100 mR,OK
15:13:31,Meter,0.42 mR/h,0.100 mR,OK
15:13:30,Meter,0.42 mR/h,0.100 mR,OK
15:13:29,Meter,0.43 mR/h,0.100 mR,OK
15:13:28,Meter,0.43 mR/h,0.090 mR,OK
15:13:27,Meter,0.42 mR/h,0.090 mR,OK
15:13:26,Meter,0.42 mR/h,0.090 mR,OK
15:13:25,Meter,0.42 mR/h,0.090 mR,OK
15:13:24,Meter,0.42 mR/h,0.090 mR,OK
15:13:23,Meter,0.42 mR/h,0.090 mR,OK
15:13:22,Meter,0.42 mR/h,0.090 mR,OK
15:13:21,Meter,0.43 mR/h,0.090 mR,OK
15:13:20,Meter,0.42 mR/h,0.090 mR,OK
15:13:19,Meter,0.43 mR/h,0.090 mR,OK
15:13:18,Meter,0.43 mR/h,0.090 mR,OK
15:13:17,Meter,0.43 mR/h,0.090 mR,OK
15:13:16,Meter,0.43 mR/h,0.090 mR,OK
15:13:15,Meter,0.44 mR/h,0.090 mR,OK
15:13:14,Meter,0.44 mR/h,0.090 mR,OK
15:13:13,Meter,0.43 mR/h,0.090 mR,OK
15:13:12,Meter,0.43 mR/h,0.090 mR,OK
15:13:11,Meter,0.44 mR/h,0.090 mR,OK
15:13:10,Meter,0.44 mR/h,0.090 mR,OK
15:13:09,Meter,0.43 mR/h,0.090 mR,OK
15:13:08,Meter,0.44 mR/h,0.090 mR,OK
15:13:07,Meter,0.44 mR/h,0.090 mR,OK
