
  Device - IC3    Serial Number- 0123456789

  RMV Data Points - 27/12/2023

Time,Device,Rate,Dose,Status
14:45:38,Meter,0 mR/h,0.040 mR,OK
14:45:37,Meter,0 mR/h,0.040 mR,OK
14:45:37,Meter,0 mR/h,0.040 mR,OK
14:45:35,Meter,0 mR/h,0.040 mR,OK
14:45:34,Meter,0 mR/h,0.040 mR,OK
14:45:33,Meter,0 mR/h,0.040 mR,OK
14:45:32,Meter,0 mR/h,0.040 mR,OK
14:45:31,Meter,0 mR/h,0.040 mR,OK
14:45:31,Meter,0 mR/h,0.040 mR,OK
14:45:29,Meter,0.41 mR/h,0.040 mR,OK
14:45:28,Meter,0.41 mR/h,0.040 mR,OK
14:45:27,Meter,0.42 mR/h,0.030 mR,OK
14:45:27,Meter,0.42 mR/h,0.030 mR,OK
14:45:25,Meter,0.42 mR/h,0.030 mR,OK
14:45:24,Meter,0.42 mR/h,0.030 mR,OK
14:45:23,Meter,0.42 mR/h,0.030 mR,OK
14:45:22,Meter,0.42 mR/h,0.030 mR,OK
14:45:21,Meter,0.43 mR/h,0.030 mR,OK
14:45:20,Meter,0.43 mR/h,0.030 mR,OK
14:45:19,Meter,0.42 mR/h,0.030 mR,OK
14:45:18,Meter,0.43 mR/h,0.030 mR,OK
14:45:17,Meter,0.42 mR/h,0.030 mR,OK
14:45:16,Meter,0.41 mR/h,0.030 mR,OK
14:45:15,Meter,0.41 mR/h,0.030 mR,OK
14:45:14,Meter,0.4 mR/h,0.030 mR,OK
14:45:13,Meter,0.41 mR/h,0.030 mR,OK
14:45:12,Meter,0.41 mR/h,0.030 mR,OK
14:45:10,Meter,0.42 mR/h,0.030 mR,OK
14:45:09,Meter,0.42 mR/h,0.030 mR,OK
14:45:08,Meter,0.42 mR/h,0.030 mR,OK
14:45:07,Meter,0.42 mR/h,0.030 mR,OK
14:45:06,Meter,0.42 mR/h,0.030 mR,OK
14:45:05,Meter,0.42 mR/h,0.030 mR,OK
14:45:04,Meter,0.42 mR/h,0.030 mR,OK
14:45:03,Meter,0.42 mR/h,0.030 mR,OK
14:45:03,Meter,0.42 mR/h,0.030 mR,OK
14:45:01,Meter,0.42 mR/h,0.030 mR,OK
14:45:00,Meter,0.43 mR/h,0.030 mR,OK
14:44:59,Meter,0.43 mR/h,0.030 mR,OK
14:44:58,Meter,0.42 mR/h,0.030 mR,OK
14:44:57,Meter,0.43 mR/h,0.030 mR,OK
14:44:56,Meter,0.43 mR/h,0.030 mR,OK
14:44:55,Meter,0.43 mR/h,0.030 mR,OK
14:44:54,Meter,0.42 mR/h,0.030 mR,OK
14:44:53,Meter,0.42 mR/h,0.030 mR,OK
14:44:52,Meter,0.42 mR/h,0.030 mR,OK
14:44:51,Meter,0.42 mR/h,0.030 mR,OK
14:44:50,Meter,0.42 mR/h,0.030 mR,OK
14:44:48,Meter,0.41 mR/h,0.030 mR,OK
14:44:47,Meter,0.41 mR/h,0.030 mR,OK
14:44:46,Meter,0.41 mR/h,0.030 mR,OK
14:44:45,Meter,0.41 mR/h,0.030 mR,OK
14:44:44,Meter,0.41 mR/h,0.030 mR,OK
14:44:43,Meter,0.4 mR/h,0.030 mR,OK
14:44:42,Meter,0.41 mR/h,0.030 mR,OK
14:44:41,Meter,0.41 mR/h,0.030 mR,OK
14:44:40,Meter,0.41 mR/h,0.030 mR,OK
14:44:39,Meter,0.41 mR/h,0.030 mR,OK
14:44:38,Meter,0.41 mR/h,0.030 mR,OK
14:44:37,Meter,0.41 mR/h,0.030 mR,OK
14:44:36,Meter,0.41 mR/h,0.030 mR,OK
14:44:35,Meter,0.41 mR/h,0.030 mR,OK
14:44:34,Meter,0.4 mR/h,0.030 mR,OK
14:44:33,Meter,0.4 mR/h,0.030 mR,OK
14:44:32,Meter,0.41 mR/h,0.030 mR,OK
14:44:31,Meter,0.41 mR/h,0.030 mR,OK
14:44:30,Meter,0.41 mR/h,0.030 mR,OK
14:44:29,Meter,0.41 mR/h,0.030 mR,OK
14:44:28,Meter,0.41 mR/h,0.030 mR,OK
14:44:26,Meter,0.41 mR/h,0.030 mR,OK
14:44:25,Meter,0.41 mR/h,0.030 mR,OK
14:44:24,Meter,0.41 mR/h,0.030 mR,OK
14:44:23,Meter,0.42 mR/h,0.030 mR,OK
14:44:21,Meter,0.41 mR/h,0.030 mR,OK
14:44:20,Meter,0.41 mR/h,0.030 mR,OK
14:44:19,Meter,0.42 mR/h,0.030 mR,OK
14:44:18,Meter,0.42 mR/h,0.030 mR,OK
14:44:18,Meter,0.42 mR/h,0.030 mR,OK
14:44:16,Meter,0.42 mR/h,0.030 mR,OK
14:44:15,Meter,0.42 mR/h,0.030 mR,OK
14:44:14,Meter,0.43 mR/h,0.030 mR,OK
14:44:13,Meter,0.42 mR/h,0.030 mR,OK
14:44:13,Meter,0.42 mR/h,0.030 mR,OK
14:44:11,Meter,0.42 mR/h,0.030 mR,OK
14:44:10,Meter,0.43 mR/h,0.030 mR,OK
14:44:09,Meter,0.42 mR/h,0.030 mR,OK
14:44:08,Meter,0.43 mR/h,0.030 mR,OK
14:44:07,Meter,0.42 mR/h,0.030 mR,OK
14:44:06,Meter,0.42 mR/h,0.030 mR,OK
14:44:05,Meter,0.42 mR/h,0.030 mR,OK
14:44:05,Meter,0.42 mR/h,0.030 mR,OK
14:44:03,Meter,0.41 mR/h,0.030 mR,OK
14:44:02,Meter,0.41 mR/h,0.030 mR,OK
14:44:01,Meter,0.41 mR/h,0.030 mR,OK
14:44:00,Meter,0.41 mR/h,0.020 mR,OK
14:43:59,Meter,0.41 mR/h,0.020 mR,OK
14:43:58,Meter,0.42 mR/h,0.020 mR,OK
14:43:57,Meter,0.42 mR/h,0.020 mR,OK
14:43:56,Meter,0.42 mR/h,0.020 mR,OK
14:43:55,Meter,0.42 mR/h,0.020 mR,OK
14:43:55,Meter,0.42 mR/h,0.020 mR,OK
14:43:53,Meter,0.42 mR/h,0.020 mR,OK
14:43:52,Meter,0.41 mR/h,0.020 mR,OK
14:43:51,Meter,0.41 mR/h,0.020 mR,OK
14:43:50,Meter,0.41 mR/h,0.020 mR,OK
14:43:48,Meter,0.41 mR/h,0.020 mR,OK
14:43:47,Meter,0.41 mR/h,0.020 mR,OK
14:43:45,Meter,0.42 mR/h,0.020 mR,OK
14:43:44,Meter,0.41 mR/h,0.020 mR,OK
14:43:43,Meter,0.41 mR/h,0.020 mR,OK
14:43:42,Meter,0.42 mR/h,0.020 mR,OK
14:43:42,Meter,0.42 mR/h,0.020 mR,OK
14:43:40,Meter,0.42 mR/h,0.020 mR,OK
14:43:39,Meter,0.42 mR/h,0.020 mR,OK
14:43:38,Meter,0.42 mR/h,0.020 mR,OK
14:43:37,Meter,0.43 mR/h,0.020 mR,OK
14:43:36,Meter,0.43 mR/h,0.020 mR,OK
14:43:35,Meter,0.43 mR/h,0.020 mR,OK
14:43:34,Meter,0.42 mR/h,0.020 mR,OK
14:43:33,Meter,0.42 mR/h,0.020 mR,OK
14:43:32,Meter,0.41 mR/h,0.020 mR,OK
14:43:31,Meter,0.41 mR/h,0.020 mR,OK
14:43:29,Meter,0.4 mR/h,0.020 mR,OK
14:43:28,Meter,0.41 mR/h,0.020 mR,OK
14:43:27,Meter,0.41 mR/h,0.020 mR,OK
14:43:26,Meter,0.41 mR/h,0.020 mR,OK
14:43:26,Meter,0.41 mR/h,0.020 mR,OK
14:43:24,Meter,0.4 mR/h,0.020 mR,OK
14:43:23,Meter,0.4 mR/h,0.020 mR,OK
14:43:22,Meter,0.4 mR/h,0.020 mR,OK
14:43:21,Meter,0.41 mR/h,0.020 mR,OK
14:43:20,Meter,0.4 mR/h,0.020 mR,OK
14:43:19,Meter,0.4 mR/h,0.020 mR,OK
14:43:18,Meter,0.4 mR/h,0.020 mR,OK
14:43:17,Meter,0.4 mR/h,0.020 mR,OK
14:43:16,Meter,0.4 mR/h,0.020 mR,OK
14:43:15,Meter,0.4 mR/h,0.020 mR,OK
14:43:14,Meter,0.4 mR/h,0.020 mR,OK
14:43:13,Meter,0.4 mR/h,0.020 mR,OK
14:43:12,Meter,0.4 mR/h,0.020 mR,OK
14:43:11,Meter,0.4 mR/h,0.020 mR,OK
14:43:10,Meter,0.4 mR/h,0.020 mR,OK
14:43:09,Meter,0.41 mR/h,0.020 mR,OK
14:43:08,Meter,0.41 mR/h,0.020 mR,OK
14:43:07,Meter,0.4 mR/h,0.020 mR,OK
14:43:06,Meter,0.4 mR/h,0.020 mR,OK
14:43:05,Meter,0.41 mR/h,0.020 mR,OK
14:43:04,Meter,0.4 mR/h,0.020 mR,OK
14:43:03,Meter,0.4 mR/h,0.020 mR,OK
14:43:02,Meter,0.4 mR/h,0.020 mR,OK
14:43:01,Meter,0.39 mR/h,0.020 mR,OK
14:43:00,Meter,0.4 mR/h,0.020 mR,OK
14:42:59,Meter,0.4 mR/h,0.020 mR,OK
14:42:58,Meter,0.41 mR/h,0.020 mR,OK
14:42:57,Meter,0.41 mR/h,0.020 mR,OK
14:42:56,Meter,0.4 mR/h,0.020 mR,OK
14:42:55,Meter,0.4 mR/h,0.020 mR,OK
14:42:54,Meter,0.4 mR/h,0.020 mR,OK
14:42:53,Meter,0.4 mR/h,0.020 mR,OK
14:42:52,Meter,0.39 mR/h,0.020 mR,OK
14:42:51,Meter,0.4 mR/h,0.020 mR,OK
14:42:50,Meter,0.39 mR/h,0.020 mR,OK
14:42:49,Meter,0.39 mR/h,0.020 mR,OK
14:42:48,Meter,0.39 mR/h,0.020 mR,OK
14:42:47,Meter,0.38 mR/h,0.020 mR,OK
14:42:46,Meter,0.38 mR/h,0.020 mR,OK
14:42:45,Meter,0.38 mR/h,0.020 mR,OK
14:42:44,Meter,0.38 mR/h,0.020 mR,OK
