
  Device - TelePole ll Meter LR internal Detector    Serial Number- 427023-188
  Device - TelePole ll External WR Detector    Serial Number- 428023-146

  RMV Data Points - 26/02/2024

Time,Device,Rate,Dose,Status
17:11:23,Meter,3.12 mR/h,1.350 mR,OK
17:11:22,Detector,0.7 mR/h,0.010 mR,OK
17:11:21,Meter,3.12 mR/h,1.350 mR,OK
17:11:20,Detector,0.72 mR/h,0.010 mR,OK
17:11:19,Meter,3.12 mR/h,1.350 mR,OK
17:11:18,Detector,0.77 mR/h,0.010 mR,OK
17:11:17,Meter,3.12 mR/h,1.350 mR,OK
17:11:16,Detector,0.77 mR/h,0.010 mR,OK
17:11:15,Meter,3.12 mR/h,1.350 mR,OK
17:11:14,Detector,0.8 mR/h,0.000 mR,OK
17:11:13,Meter,3.12 mR/h,1.340 mR,OK
17:11:12,Detector,0.82 mR/h,0.000 mR,OK
17:11:11,Meter,3.12 mR/h,1.340 mR,OK
17:11:10,Detector,0.24 mR/h,0.000 mR,OK
17:11:09,Meter,3.12 mR/h,1.340 mR,OK
17:11:08,Detector,0.66 mR/h,0.000 mR,OK
17:11:07,Meter,3.23 mR/h,1.340 mR,OK
17:11:06,Detector,0.66 mR/h,0.000 mR,OK
17:11:05,Meter,3.1 mR/h,1.340 mR,OK
17:11:04,Detector,0.66 mR/h,0.000 mR,OK
17:11:03,Meter,3.23 mR/h,1.330 mR,OK
17:11:02,Detector,0.66 mR/h,0.000 mR,OK
17:11:01,Meter,3.23 mR/h,1.330 mR,OK
17:11:00,Detector,0.66 mR/h,0.000 mR,OK
17:10:59,Meter,3.23 mR/h,1.330 mR,OK
17:10:58,Detector,0.68 mR/h,0.000 mR,OK
17:10:57,Meter,3.23 mR/h,1.330 mR,OK
17:10:56,Detector,0.71 mR/h,0.000 mR,OK
17:10:55,Meter,3.34 mR/h,1.330 mR,OK
17:10:54,Detector,0.71 mR/h,0.000 mR,OK
17:10:53,Meter,3.34 mR/h,1.330 mR,OK
17:10:52,Detector,0.68 mR/h,0.000 mR,OK
17:10:51,Meter,3.34 mR/h,1.320 mR,OK
17:10:50,Detector,0.68 mR/h,0.000 mR,OK
17:10:49,Meter,33.05 uSv/h,1.320 uSv,OK
17:10:48,Detector,6.73 uSv/h,0.020 uSv,OK
17:10:47,Meter,33.05 uSv/h,1.300 uSv,OK
17:10:46,Detector,6.73 uSv/h,0.010 uSv,OK
17:10:45,Meter,33.05 uSv/h,1.290 uSv,OK
17:10:44,Detector,6.48 uSv/h,0.010 uSv,OK
17:10:43,Meter,33.05 uSv/h,1.270 uSv,OK
17:10:42,Detector,6.48 uSv/h,0.010 uSv,OK
17:10:41,Meter,33.05 uSv/h,1.250 uSv,OK
17:10:40,Detector,6.48 uSv/h,0.000 uSv,OK
17:10:39,Meter,33.05 uSv/h,1.230 uSv,OK
17:10:38,Detector,6.48 uSv/h,0.000 uSv,OK
17:10:37,Meter,3.19 mR/h,1.220 mR,OK
17:10:36,Detector,6.73 uSv/h,0.020 uSv,OK
17:10:35,Meter,3.19 mR/h,1.220 mR,OK
17:10:34,Detector,6.73 uSv/h,0.020 uSv,OK
17:10:33,Meter,3.19 mR/h,1.220 mR,OK
17:10:32,Detector,6.73 uSv/h,0.010 uSv,OK
17:10:31,Meter,3.08 mR/h,1.210 mR,OK
17:10:30,Detector,6.73 uSv/h,0.010 uSv,OK
17:10:29,Meter,3.2 mR/h,1.210 mR,OK
17:10:28,Detector,6.73 uSv/h,0.010 uSv,OK
17:10:27,Meter,3.2 mR/h,1.210 mR,OK
17:10:26,Detector,6.73 uSv/h,0.000 uSv,OK
17:10:25,Meter,3.2 mR/h,1.210 mR,OK
17:10:24,Detector,0.69 mR/h,0.000 mR,OK
17:10:23,Meter,3.2 mR/h,1.210 mR,OK
