
  Device - TelePole ll Meter LR internal Detector    Serial Number- 427023-188

  RMV Data Points - 14/02/2024

Time,Device,Rate,Dose,Status
11:23:17,Meter,0.07 mR/h,0.140 mR,OK
11:23:12,Meter,0.08 mR/h,0.140 mR,OK
11:23:07,Meter,0.09 mR/h,0.140 mR,OK
11:23:02,Meter,0.11 mR/h,0.140 mR,OK
11:22:57,Meter,0.11 mR/h,0.140 mR,OK
11:22:52,Meter,0.12 mR/h,0.140 mR,OK
11:22:47,Meter,0.74 mR/h,0.140 mR,OK
11:22:42,Meter,0.82 mR/h,0.140 mR,OK
11:22:37,Meter,0.82 mR/h,0.140 mR,OK
11:22:32,Meter,0.8 mR/h,0.140 mR,OK
11:22:27,Meter,0.8 mR/h,0.140 mR,OK
11:22:22,Meter,0.8 mR/h,0.140 mR,OK
11:22:17,Meter,0.84 mR/h,0.140 mR,OK
11:22:12,Meter,0.88 mR/h,0.140 mR,OK
11:22:07,Meter,0.82 mR/h,0.130 mR,OK
11:22:02,Meter,0.82 mR/h,0.130 mR,OK
11:21:57,Meter,0.82 mR/h,0.130 mR,OK
11:21:52,Meter,0.85 mR/h,0.130 mR,OK
11:21:47,Meter,0.88 mR/h,0.130 mR,OK
11:21:42,Meter,0.88 mR/h,0.130 mR,OK
11:21:37,Meter,0.93 mR/h,0.130 mR,OK
11:21:32,Meter,1 mR/h,0.130 mR,OK
11:21:27,Meter,0.82 mR/h,0.130 mR,OK
11:21:22,Meter,0.44 mR/h,0.120 mR,OK
11:21:17,Meter,0.74 mR/h,0.120 mR,OK
11:21:12,Meter,0.74 mR/h,0.120 mR,OK
11:21:07,Meter,0.74 mR/h,0.120 mR,OK
11:21:02,Meter,0.74 mR/h,0.120 mR,OK
11:20:57,Meter,0.77 mR/h,0.120 mR,OK
11:20:52,Meter,0.77 mR/h,0.120 mR,OK
11:20:47,Meter,0.8 mR/h,0.120 mR,OK
11:20:42,Meter,0.8 mR/h,0.120 mR,OK
11:20:37,Meter,0.77 mR/h,0.110 mR,OK
11:20:32,Meter,0.81 mR/h,0.110 mR,OK
11:20:27,Meter,0.78 mR/h,0.110 mR,OK
11:20:22,Meter,0.78 mR/h,0.110 mR,OK
11:20:17,Meter,0.78 mR/h,0.110 mR,OK
11:20:12,Meter,0.78 mR/h,0.110 mR,OK
11:20:07,Meter,0.78 mR/h,0.110 mR,OK
11:20:02,Meter,0.81 mR/h,0.110 mR,OK
11:19:57,Meter,0.84 mR/h,0.110 mR,OK
11:19:52,Meter,0.8 mR/h,0.110 mR,OK
11:19:47,Meter,0.83 mR/h,0.100 mR,OK
11:19:42,Meter,0.81 mR/h,0.100 mR,OK
11:19:37,Meter,0.78 mR/h,0.100 mR,OK
11:19:32,Meter,0.84 mR/h,0.100 mR,OK
11:19:27,Meter,0.84 mR/h,0.100 mR,OK
11:19:22,Meter,0.88 mR/h,0.100 mR,OK
11:19:17,Meter,0.6 mR/h,0.100 mR,OK
11:19:12,Meter,0.55 mR/h,0.100 mR,OK
11:19:07,Meter,0.53 mR/h,0.100 mR,OK
11:19:02,Meter,0.95 mR/h,0.090 mR,OK
11:18:57,Meter,0.98 mR/h,0.090 mR,OK
11:18:52,Meter,1.01 mR/h,0.090 mR,OK
11:18:47,Meter,1.06 mR/h,0.090 mR,OK
11:18:42,Meter,0.85 mR/h,0.090 mR,OK
11:18:37,Meter,0.88 mR/h,0.090 mR,OK
11:18:32,Meter,0.35 mR/h,0.090 mR,OK
11:18:27,Meter,0.82 mR/h,0.090 mR,OK
11:18:22,Meter,0.86 mR/h,0.080 mR,OK
11:18:17,Meter,0.89 mR/h,0.080 mR,OK
11:18:12,Meter,0.92 mR/h,0.080 mR,OK
11:18:07,Meter,0.83 mR/h,0.080 mR,OK
11:18:02,Meter,0.8 mR/h,0.080 mR,OK
11:17:57,Meter,0.84 mR/h,0.080 mR,OK
11:17:52,Meter,0.88 mR/h,0.080 mR,OK
11:17:47,Meter,0.88 mR/h,0.080 mR,OK
11:17:42,Meter,0.88 mR/h,0.070 mR,OK
11:17:37,Meter,0.88 mR/h,0.070 mR,OK
11:17:32,Meter,1.24 mR/h,0.070 mR,OK
11:17:27,Meter,1.29 mR/h,0.070 mR,OK
11:17:22,Meter,0.79 mR/h,0.070 mR,OK
11:17:17,Meter,0.82 mR/h,0.070 mR,OK
11:17:12,Meter,0.82 mR/h,0.070 mR,OK
11:17:07,Meter,0.85 mR/h,0.070 mR,OK
11:17:02,Meter,0.81 mR/h,0.070 mR,OK
11:16:57,Meter,0.79 mR/h,0.060 mR,OK
11:16:52,Meter,0.79 mR/h,0.060 mR,OK
11:16:47,Meter,0.74 mR/h,0.060 mR,OK
11:16:42,Meter,0.71 mR/h,0.060 mR,OK
11:16:37,Meter,0.71 mR/h,0.060 mR,OK
