
  Device - TelePole ll Meter LR internal Detector    Serial Number- 427023-188
  Device - TelePole ll External WR Detector    Serial Number- 428023-146

  RMV Data Points - 22/02/2024

Time,Device,Rate,Dose,Status
11:26:57,Detector,0.06 mR/h,0.200 mR,OK
11:26:56,Meter,0.03 mR/h,0.270 mR,OK
11:26:55,Detector,0.01 mR/h,0.200 mR,OK
11:26:54,Meter,0.03 mR/h,0.270 mR,OK
11:26:53,Detector,0 mR/h,0.200 mR,OK
11:26:52,Meter,0.02 mR/h,0.270 mR,OK
11:26:51,Detector,0.01 mR/h,0.200 mR,OK
11:26:50,Meter,0.03 mR/h,0.270 mR,OK
11:26:49,Detector,0.01 mR/h,0.200 mR,OK
11:26:48,Meter,0.03 mR/h,0.270 mR,OK
11:26:47,Detector,0 mR/h,0.200 mR,OK
11:26:46,Meter,0.03 mR/h,0.270 mR,OK
11:26:45,Detector,0 mR/h,0.200 mR,OK
11:26:44,Meter,0.03 mR/h,0.270 mR,OK
11:26:43,Detector,0 mR/h,0.200 mR,OK
11:26:42,Meter,0.03 mR/h,0.270 mR,OK
11:26:41,Detector,0.01 mR/h,0.200 mR,OK
11:26:40,Meter,0.04 mR/h,0.270 mR,OK
11:26:39,Detector,0.01 mR/h,0.200 mR,OK
11:26:38,Meter,0.04 mR/h,0.270 mR,OK
11:26:37,Detector,0 mR/h,0.200 mR,OK
11:26:36,Meter,0.04 mR/h,0.270 mR,OK
11:26:35,Detector,0 mR/h,0.200 mR,OK
11:26:34,Meter,0.04 mR/h,0.270 mR,OK
11:26:33,Detector,1.17 mR/h,0.200 mR,OK
11:26:32,Meter,0.04 mR/h,0.270 mR,OK
11:26:31,Detector,1.22 mR/h,0.200 mR,OK
11:26:30,Meter,0.04 mR/h,0.270 mR,OK
11:26:29,Detector,1.26 mR/h,0.200 mR,OK
11:26:28,Meter,0.04 mR/h,0.270 mR,OK
11:26:27,Detector,1.3 mR/h,0.200 mR,OK
11:26:26,Meter,0.04 mR/h,0.270 mR,OK
11:26:25,Detector,1.36 mR/h,0.200 mR,OK
11:26:24,Meter,0.04 mR/h,0.270 mR,OK
11:26:23,Detector,1.41 mR/h,0.200 mR,OK
11:26:22,Meter,0.05 mR/h,0.270 mR,OK
11:26:21,Detector,0.41 mR/h,0.190 mR,OK
11:26:20,Meter,0.05 mR/h,0.270 mR,OK
11:26:19,Detector,0.06 mR/h,0.190 mR,OK
11:26:18,Meter,0.05 mR/h,0.270 mR,OK
11:26:17,Detector,0.06 mR/h,0.190 mR,OK
11:26:16,Meter,0.06 mR/h,0.270 mR,OK
11:26:15,Detector,0.06 mR/h,0.190 mR,OK
11:26:14,Meter,0.06 mR/h,0.270 mR,OK
11:26:13,Detector,0.06 mR/h,0.190 mR,OK
11:26:12,Meter,1.54 mR/h,0.260 mR,OK
11:26:11,Detector,0.06 mR/h,0.190 mR,OK
11:26:10,Meter,1.54 mR/h,0.260 mR,OK
11:26:09,Detector,0.06 mR/h,0.190 mR,OK
11:26:08,Meter,1.54 mR/h,0.260 mR,OK
11:26:07,Detector,0.04 mR/h,0.190 mR,OK
11:26:06,Meter,1.54 mR/h,0.260 mR,OK
11:26:05,Detector,0.05 mR/h,0.190 mR,OK
11:26:04,Meter,1.54 mR/h,0.260 mR,OK
11:26:03,Detector,0.04 mR/h,0.190 mR,OK
11:26:02,Meter,1.54 mR/h,0.260 mR,OK
11:26:01,Detector,0.04 mR/h,0.190 mR,OK
11:26:00,Meter,1.54 mR/h,0.260 mR,OK
11:25:59,Detector,0.04 mR/h,0.190 mR,OK
11:25:58,Meter,1.54 mR/h,0.260 mR,OK
11:25:57,Detector,0.05 mR/h,0.190 mR,OK
11:25:56,Meter,1.54 mR/h,0.260 mR,OK
11:25:55,Detector,0.05 mR/h,0.190 mR,OK
